SKU,Handle,Description,Title,Price,Vendor,Type,Image_Src,Quantity
15147,redken-shades-eq-gloss-29,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06WG 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06wg-60-ml-P0053301.150x150.jpg,8
15148,redken-shades-eq-gloss-30,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06NB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06nb-60-ml-P0071200.150x150.jpg,4
15149,redken-shades-eq-gloss-31,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06KK 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06kk-60-ml-P0106401.150x150.jpg,3
15150,redken-shades-eq-gloss-32,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 07C  60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-07c-60-ml-P0488900.150x150.jpg,15
15151,redken-shades-eq-gloss-33,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 07GB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-07gb-60-ml-P0073201.150x150.jpg,5
15152,redken-shades-eq-gloss-34,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 07NB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-07nb-60-ml-P0073301.150x150.jpg,5
15153,redken-shades-eq-gloss-35,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 07MV 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-07mv-60-ml-P0487100.150x150.jpg,11
15154,redken-shades-eq-gloss-36,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 08C 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-08c-60-ml-P0489000.150x150.jpg,19
15155,redken-shades-eq-gloss-37,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 08N 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-08n-60-ml-P0057301.150x150.jpg,3
15156,redken-shades-eq-cream,"Ухаживающая краска-крем  08GI-8GI, 60 мл",Redken Shades EQ Cream,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-cream---uhazhivayuschaya-kraska-krem-08gi-8gi-60-mlRedken-Redken-Shades-EQ-Cream.150x150.jpg,11
15157,redken-shades-eq-gloss-38,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 08WG 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-08wg-60-ml-P0053400.150x150.jpg,18
15158,redken-shades-eq-gloss-39,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 8КК 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-8kk-60-ml-Redken-Shades-Eq-Gloss.150x150.jpg,5
15159,redken-shades-eq-gloss-40,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09AA 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09aa-60-ml-P0057800.150x150.jpg,15
15160,redken-shades-eq-gloss-41,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09NB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09nb-60-ml-P0060001.150x150.jpg,11
15161,redken-shades-eq-gloss-42,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09G 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09g-60-ml-P0059601.150x150.jpg,19
15162,redken-shades-eq-gloss-43,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09K 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09k-60-ml-P0068201.150x150.jpg,6
15163,redken-shades-eq-gloss-44,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09M 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09m-60-ml-P0072601.150x150.jpg,1
15164,redken-shades-eq-gloss-45,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09N 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09n-60-ml-P0059901.150x150.jpg,12
15165,redken-shades-eq-gloss-46,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 9T 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-9t-60-ml-P0487500.150x150.jpg,6
15166,redken-shades-eq-gloss-47,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09V 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09v-60-ml-P0060301.150x150.jpg,19
15167,redken-shades-eq-gloss-48,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 09GB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-09gb-60-ml-P0060601.150x150.jpg,1
15168,redken-shades-eq-cream-2,Ухаживающая краска-крем без аммиака Шейдс икью крим 03NA 60 мл,Redken Shades Eq Cream,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-cream---uhazhivayuschaya-kraska-krem-bez-ammiaka-shejds-ikyu-krim-03na-60-ml-Redken-Shades-Eq-Cream.150x150.jpg,2
