SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21466,Redken,"Несмываемый крем-уход для плотных волос, 250 мл",Redken Frizz Dismiss Rebel Tame FPF 40,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss-rebel-tame-fpf-40---nesmyvaemyj-krem-uhod-dlya-plotnyh-volos-250-mlp1048800.150x150.jpg,4
21467,Redken,"Несмываемая сыворотка для нормальных и плотных волос, 125 мл",Redken Frizz Dismiss instant Deflate FPF 30,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss-instant-deflate-fpf-30---nesmyvaemaya-syvorotka-dlya-normalnyh-i-plotnyh-volos-125-mlp1050000.150x150.jpg,13
21468,Redken,"Лосьон для гладкости тонких и нормальных волос, 150 мл",Redken Frizz Dismiss Smooth Force FPF 20,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss-smooth-force-fpf-20---loson-dlya-gladkosti-tonkih-i-normalnyh-volos-150-mlp1049400.150x150.jpg,20
21469,Redken,"Мультифункциональный спрей с 25 полезными свойствами, 150 мл",Redken One United All-In-One Multi-Benefit Treatment,2518,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-one-united-all-in-one-multi-benefit-treatment---multifunktsionalnyj-sprej-s-25-poleznymi-svojstvami-150-ml2290071.150x150.jpg,9
21470,Redken,"Салфетки против пушистости для всех типов волос, 50 шт",Redken Frizz Dismiss Fly-away Fix FPF 10,2087,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss-fly-away-fix-fpf-10---salfetki-protiv-pushistosti-dlya-vseh-tipov-volos-50-shtp1049200.150x150.jpg,6
21471,Redken,"Шампунь для тонких волос, 290 мл.",Redken Cerafill Defy Shampoo,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-defy-shampoo---shampun-dlya-podderzhaniya-plotnosti-istonchayuschihsya-volos-69400402-mlRedken_Cerafill_Defy_enl.150x150.jpg,1
21472,Redken,"Кондиционер для тонких волос, 245 мл.",Redken Cerafill Defy Conditioner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-defy-conditioner---konditsioner-dlya-podderzhaniya-plotnosti-istonchayuschihsya-volos-89900424-mlkond-Cerafill-Defy_enl.150x150.jpg,4
21473,Redken,"Шампунь для сильно истонченных волос, 290 мл.",Redken Cerafill Retaliate Shampoo,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-retaliate-shampoo---shampun-dlya-silno-istonchennyh-volos-69400402-mlRedken-Cerafill-Retaliate_enl.150x150.jpg,6
21474,Redken,"Кондиционер для сильно истонченных волос, 245 мл.",Redken Cerafill Retaliate Conditioner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-retaliate-conditioner---konditsioner-dlya-silno-istonchennyh-volos-89900424-mlKond-Cerafill-Retaliate_enl.150x150.jpg,7
21475,Redken,Ежедневный несмываемый уход 5%,Redken Cerafill Retaliate Stemoxydine 5%,2056,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-retaliate-stemoxydine-5---ezhednevnyj-nesmyvaemyj-uhod-5Stemoxydine.150x150.jpg,11
